2026-03-05T05:22:07.824176 | Dist: 4.7725 | Result: FAIL | ID: EMP-961231
2026-03-05T05:25:38.937155 | Dist: 0.0000 | Result: OK | ID: EMP-961231
2026-03-05T05:28:21.496580 | Dist: 4.8496 | Result: FAIL | ID: EMP-961231
2026-03-05T05:29:39.104204 | Dist: 5.7509 | Result: FAIL | ID: EMP-961231
2026-03-05T05:30:45.624655 | Dist: 4.9060 | Result: FAIL | ID: EMP-961231
2026-03-05T05:55:37.805554 | Dist: 3.9011 | Result: FAIL | ID: EMP-961231
2026-03-05T05:59:11.277732 | Dist: 4.2903 | Result: FAIL | ID: EMP-961231
2026-03-05T05:59:50.142075 | Dist: 5.0613 | Result: FAIL | ID: EMP-961231
2026-03-05T06:00:29.273158 | Dist: 4.2299 | Result: FAIL | ID: EMP-961231
2026-03-05T06:03:56.980274 | Dist: 5.3392 | Result: FAIL | ID: EMP-961231
2026-03-05T06:05:49.674340 | Dist: 9.2900 | Result: FAIL | ID: EMP-961231
2026-03-05T06:07:05.415636 | Dist: 5.5376 | Result: FAIL | ID: EMP-961231
2026-03-05T06:08:25.618563 | Dist: 3.6547 | Result: FAIL | ID: EMP-961231
2026-03-05T06:09:49.308878 | Dist: 4.5800 | Result: FAIL | ID: EMP-961231
2026-03-05T06:10:32.986766 | Dist: 5.0113 | Result: FAIL | ID: EMP-961231
2026-03-05T06:11:22.667973 | Dist: 5.0584 | Result: FAIL | ID: EMP-961231
2026-03-05T06:12:03.100340 | Dist: 3.9886 | Result: FAIL | ID: EMP-961231
2026-03-05T06:12:50.747869 | Dist: 4.6464 | Result: FAIL | ID: EMP-961231
2026-03-05T06:13:54.583650 | Dist: 6.0936 | Result: FAIL | ID: EMP-961231
2026-03-05T06:26:03.429144 | Dist: 4.6817 | Result: FAIL | ID: EMP-961231
2026-03-05T06:35:53.313540 | Dist: 4.4148 | Result: FAIL | ID: EMP-961231
2026-03-05T06:36:09.444373 | Dist: 4.5192 | Result: FAIL | ID: EMP-961231
2026-03-05T06:44:23.200743 | Dist: 0.3938 | Result: OK | ID: EMP-961231
2026-03-05T06:47:23.038984 | Dist: 0.5629 | Result: OK | ID: EMP-961231
2026-03-05T06:47:59.551355 | Dist: 0.4144 | Result: OK | ID: EMP-961231
2026-03-05T06:49:50.127025 | Dist: 1.3022 | Result: FAIL | ID: EMP-349731
2026-03-05T06:50:01.128102 | Dist: 0.3573 | Result: OK | ID: EMP-349731
2026-03-05T06:57:21.596299 | Dist: 0.4599 | Result: OK | ID: EMP-961231
2026-03-05T06:57:42.065971 | Dist: 0.5657 | Result: OK | ID: EMP-961231
2026-03-05T07:02:25.549009 | Dist: 0.4477 | Result: OK | ID: EMP-961231
2026-03-05T07:02:46.659452 | Dist: 0.4422 | Result: OK | ID: EMP-961231
2026-03-05T07:03:21.900026 | Dist: 0.4384 | Result: OK | ID: EMP-961231
2026-03-05T07:14:57.706122 | Dist: 0.5446 | Result: OK | ID: EMP-961231
2026-03-05T07:17:14.755926 | Dist: 0.4941 | Result: OK | ID: EMP-961231
2026-03-05T07:31:10.319460 | Dist: 0.4329 | Result: OK | ID: EMP-961231
2026-03-05T07:32:05.950792 | Dist: 0.4810 | Result: OK | ID: EMP-961231
2026-03-05T08:58:54.283456 | Dist: 0.3521 | Result: OK | ID: EMP-961231
2026-03-05T08:59:47.508808 | Dist: 0.3734 | Result: OK | ID: EMP-961231
2026-03-05T09:01:16.017598 | Dist: 0.3867 | Result: OK | ID: EMP-961231
2026-03-05T09:02:25.571919 | Dist: 0.4635 | Result: OK | ID: EMP-961231
2026-03-05T09:16:51.038125 | Dist: 0.3060 | Result: OK | ID: EMP-961231
2026-03-05T09:19:56.619062 | Dist: 0.3060 | Result: OK | ID: EMP-961231
2026-03-05T09:49:41.786865 | Dist: 0.4131 | Result: OK | ID: EMP-961231
2026-03-05T10:14:54.260273 | Dist: 0.4172 | Result: OK | ID: EMP-961231
2026-03-05T10:40:21.660330 | Dist: 0.4166 | Result: OK | ID: EMP-961231
2026-03-05T10:49:35.570013 | Dist: 0.3891 | Result: OK | ID: EMP-961231
2026-03-05T10:50:25.132002 | Dist: 0.4642 | Result: OK | ID: EMP-961231
2026-03-05T10:50:50.175174 | Dist: 0.4049 | Result: OK | ID: EMP-961231
2026-03-05T10:51:08.824760 | Dist: 0.4193 | Result: OK | ID: EMP-349731
2026-03-05T10:51:28.670761 | Dist: 0.4592 | Result: OK | ID: EMP-349731
2026-03-05T10:51:47.870528 | Dist: 0.4753 | Result: OK | ID: EMP-961231
2026-03-05T11:13:14.258824 | Dist: 1.4010 | Result: FAIL | ID: EMP-349731
2026-03-05T12:26:15.139669 | Dist: 0.4505 | Result: OK | ID: EMP-961231
2026-03-05T12:33:47.410122 | Dist: 1.3411 | Result: FAIL | ID: EMP-349731
2026-03-05T12:34:01.116035 | Dist: 0.4244 | Result: OK | ID: EMP-961231
2026-03-05T12:45:34.770204 | Dist: 1.4086 | Result: FAIL | ID: EMP-349731
2026-03-05T12:45:52.088259 | Dist: 0.5523 | Result: OK | ID: EMP-961231
2026-03-05T12:47:17.621975 | Dist: 0.4164 | Result: OK | ID: EMP-961231
2026-03-05T12:49:35.272014 | Dist: 0.5212 | Result: OK | ID: EMP-961231
2026-03-06T05:57:58.032380 | Dist: 0.5127 | Result: OK | ID: EMP-961231
2026-03-06T05:58:33.986380 | Dist: 0.5414 | Result: OK | ID: EMP-961231
2026-03-06T05:58:52.063262 | Dist: 0.5490 | Result: OK | ID: EMP-961231
2026-03-06T05:59:09.594745 | Dist: 0.6593 | Result: OK | ID: EMP-961231
2026-03-06T05:59:39.075867 | Dist: 0.6483 | Result: OK | ID: EMP-961231
2026-03-06T05:59:58.792048 | Dist: 0.5649 | Result: OK | ID: EMP-961231
2026-03-06T06:01:01.848778 | Dist: 0.6194 | Result: OK | ID: EMP-961231
2026-03-06T06:01:19.803523 | Dist: 0.6468 | Result: OK | ID: EMP-961231
2026-03-06T06:01:37.866580 | Dist: 0.5290 | Result: OK | ID: EMP-961231
2026-03-06T06:01:54.615935 | Dist: 0.5112 | Result: OK | ID: EMP-961231
2026-03-06T06:02:13.041856 | Dist: 0.5143 | Result: OK | ID: EMP-961231
2026-03-06T06:02:39.195266 | Dist: 0.5079 | Result: OK | ID: EMP-961231
2026-03-06T06:03:32.926608 | Dist: 0.5422 | Result: OK | ID: EMP-961231
2026-03-06T06:04:56.041039 | Dist: 0.4965 | Result: OK | ID: EMP-961231
2026-03-06T06:05:12.778386 | Dist: 0.4515 | Result: OK | ID: EMP-961231
2026-03-06T06:05:30.697429 | Dist: 0.4776 | Result: OK | ID: EMP-961231
2026-03-06T06:06:57.426343 | Dist: 1.3748 | Result: FAIL | ID: EMP-349731
2026-03-06T06:07:08.742444 | Dist: 0.5192 | Result: OK | ID: EMP-961231
2026-03-06T06:07:38.573468 | Dist: 0.5237 | Result: OK | ID: EMP-961231
2026-03-06T06:07:58.793798 | Dist: 0.4840 | Result: OK | ID: EMP-961231
2026-03-06T06:08:17.141211 | Dist: 0.5703 | Result: OK | ID: EMP-961231
2026-03-06T06:09:02.463116 | Dist: 0.3909 | Result: OK | ID: EMP-961231
2026-03-06T06:09:33.585455 | Dist: 0.5790 | Result: OK | ID: EMP-961231
2026-03-06T06:10:18.523677 | Dist: 0.6474 | Result: OK | ID: EMP-961231
2026-03-06T06:10:55.445637 | Dist: 1.3472 | Result: FAIL | ID: EMP-349731
2026-03-06T06:11:52.206278 | Dist: 0.6697 | Result: OK | ID: EMP-961231
2026-03-06T06:12:10.984231 | Dist: 0.5837 | Result: OK | ID: EMP-961231
2026-03-06T06:12:56.658473 | Dist: 0.4532 | Result: OK | ID: EMP-961231
2026-03-06T06:29:38.031022 | Dist: 0.4367 | Result: OK | ID: EMP-961231
2026-03-06T06:30:14.073437 | Dist: 0.4952 | Result: OK | ID: EMP-961231
2026-03-06T06:32:25.776754 | Dist: 0.4098 | Result: OK | ID: EMP-961231
2026-03-06T06:33:39.721083 | Dist: 0.6238 | Result: OK | ID: EMP-961231
2026-03-06T06:33:57.048192 | Dist: 0.4939 | Result: OK | ID: EMP-961231
2026-03-06T06:34:13.962849 | Dist: 0.5171 | Result: OK | ID: EMP-961231
2026-03-06T06:34:40.358092 | Dist: 0.4455 | Result: OK | ID: EMP-961231
2026-03-06T06:35:24.243924 | Dist: 1.4298 | Result: FAIL | ID: EMP-349731
2026-03-06T06:35:43.784124 | Dist: 1.3515 | Result: FAIL | ID: EMP-349731
2026-03-06T06:36:11.718014 | Dist: 0.4729 | Result: OK | ID: EMP-961231
2026-03-06T06:36:29.942816 | Dist: 0.4743 | Result: OK | ID: EMP-961231
2026-03-06T06:36:47.112991 | Dist: 0.4357 | Result: OK | ID: EMP-961231
2026-03-06T06:37:03.939784 | Dist: 0.4455 | Result: OK | ID: EMP-961231
2026-03-06T06:38:25.017456 | Dist: 0.5179 | Result: OK | ID: EMP-961231
2026-03-06T06:39:08.837413 | Dist: 0.5873 | Result: OK | ID: EMP-961231
2026-03-06T06:39:34.928623 | Dist: 0.5775 | Result: OK | ID: EMP-961231
2026-03-06T06:39:51.578233 | Dist: 0.5564 | Result: OK | ID: EMP-961231
2026-03-06T06:40:26.750624 | Dist: 0.4747 | Result: OK | ID: EMP-961231
2026-03-06T06:40:43.788957 | Dist: 0.5796 | Result: OK | ID: EMP-961231
2026-03-06T06:41:00.697458 | Dist: 0.5847 | Result: OK | ID: EMP-961231
2026-03-06T06:41:26.898925 | Dist: 0.4546 | Result: OK | ID: EMP-961231
2026-03-06T06:41:53.449770 | Dist: 1.4546 | Result: FAIL | ID: EMP-349731
2026-03-06T06:42:30.564165 | Dist: 0.5644 | Result: OK | ID: EMP-961231
2026-03-06T06:42:47.652700 | Dist: 0.6248 | Result: OK | ID: EMP-961231
2026-03-06T06:43:31.735605 | Dist: 0.5826 | Result: OK | ID: EMP-961231
2026-03-06T06:43:48.791933 | Dist: 0.5617 | Result: OK | ID: EMP-961231
2026-03-06T06:44:05.445241 | Dist: 0.5714 | Result: OK | ID: EMP-961231
2026-03-06T06:44:22.016406 | Dist: 0.5666 | Result: OK | ID: EMP-961231
2026-03-06T06:44:48.663166 | Dist: 0.5654 | Result: OK | ID: EMP-961231
2026-03-06T06:45:06.040919 | Dist: 0.5725 | Result: OK | ID: EMP-961231
2026-03-06T06:45:22.812194 | Dist: 0.5307 | Result: OK | ID: EMP-961231
2026-03-06T06:45:40.427394 | Dist: 0.4937 | Result: OK | ID: EMP-961231
2026-03-06T06:45:58.100389 | Dist: 0.6218 | Result: OK | ID: EMP-961231
2026-03-06T06:46:23.700552 | Dist: 0.4922 | Result: OK | ID: EMP-961231
2026-03-06T06:46:41.579272 | Dist: 0.4637 | Result: OK | ID: EMP-961231
2026-03-06T06:46:58.525792 | Dist: 0.5210 | Result: OK | ID: EMP-961231
2026-03-06T06:47:15.819998 | Dist: 0.4905 | Result: OK | ID: EMP-961231
2026-03-06T06:47:32.759482 | Dist: 0.5051 | Result: OK | ID: EMP-961231
2026-03-06T06:47:49.589535 | Dist: 0.5258 | Result: OK | ID: EMP-961231
2026-03-06T06:48:06.658248 | Dist: 0.4702 | Result: OK | ID: EMP-961231
2026-03-06T06:48:23.621819 | Dist: 0.4828 | Result: OK | ID: EMP-961231
2026-03-06T06:50:13.093480 | Dist: 0.5731 | Result: OK | ID: EMP-961231
2026-03-06T06:50:30.129557 | Dist: 0.4605 | Result: OK | ID: EMP-961231
2026-03-06T06:50:46.533409 | Dist: 0.4789 | Result: OK | ID: EMP-961231
2026-03-06T06:51:03.744978 | Dist: 0.4687 | Result: OK | ID: EMP-961231
2026-03-06T06:51:29.616492 | Dist: 0.4737 | Result: OK | ID: EMP-961231
2026-03-06T06:51:55.525362 | Dist: 0.5501 | Result: OK | ID: EMP-961231
2026-03-06T06:52:35.567168 | Dist: 0.4259 | Result: OK | ID: EMP-961231
2026-03-06T06:53:13.601346 | Dist: 0.4959 | Result: OK | ID: EMP-349731
2026-03-06T09:20:55.864669 | Dist: 0.4664 | Result: OK | ID: EMP-961231
2026-03-06T09:21:14.685426 | Dist: 0.5576 | Result: OK | ID: EMP-961231
2026-03-06T09:21:40.937617 | Dist: 0.4671 | Result: OK | ID: EMP-961231
2026-03-06T09:21:58.767326 | Dist: 0.4118 | Result: OK | ID: EMP-961231
2026-03-06T09:22:15.741825 | Dist: 0.5243 | Result: OK | ID: EMP-961231
2026-03-06T09:22:32.419699 | Dist: 0.4830 | Result: OK | ID: EMP-961231
2026-03-06T09:22:50.433650 | Dist: 0.4797 | Result: OK | ID: EMP-961231
2026-03-06T09:23:07.509308 | Dist: 1.3982 | Result: FAIL | ID: EMP-349731
2026-03-06T09:23:17.632398 | Dist: 1.4095 | Result: FAIL | ID: EMP-349731
2026-03-06T09:23:27.558456 | Dist: 1.4054 | Result: FAIL | ID: EMP-349731
2026-03-06T09:23:37.486668 | Dist: 1.4305 | Result: FAIL | ID: EMP-349731
2026-03-06T09:24:55.754318 | Dist: 1.4279 | Result: FAIL | ID: EMP-349731
2026-03-06T09:25:05.819277 | Dist: 1.3792 | Result: FAIL | ID: EMP-349731
2026-03-06T09:25:26.765463 | Dist: 0.5215 | Result: OK | ID: EMP-961231
2026-03-06T09:25:43.511848 | Dist: 0.4429 | Result: OK | ID: EMP-961231
2026-03-06T09:26:00.571516 | Dist: 0.5515 | Result: OK | ID: EMP-961231
2026-03-06T09:26:17.481540 | Dist: 0.4764 | Result: OK | ID: EMP-961231
2026-03-06T09:26:34.532593 | Dist: 0.4962 | Result: OK | ID: EMP-961231
2026-03-06T09:26:51.744187 | Dist: 0.5688 | Result: OK | ID: EMP-961231
2026-03-06T09:27:18.716723 | Dist: 0.7054 | Result: OK | ID: EMP-961231
2026-03-06T09:27:35.496783 | Dist: 0.5385 | Result: OK | ID: EMP-961231
2026-03-06T09:28:30.139422 | Dist: 0.4166 | Result: OK | ID: EMP-961231
2026-03-06T09:28:47.525480 | Dist: 0.4804 | Result: OK | ID: EMP-961231
